Date Time,403230,404214,404204,405269,407379,221210,235255,408203,238210,238219,405203,221208,401230,223209,405218,414201,235224,405201,401229,221225,223210,403241,403233,405200,221224,404216,403250,405335,403222,223218,233217,414200,405226,237205,238206,401212,415247,403244,403254,234201,227270,415246,415256,405232,238228,224217,403210,404224,401201,404210,407380,236209,415200,237207,414207,402205,405228,Total
2014,,14605.0,14611.0,,,,14613.0,,14586.0,14625.0,,,,,,,,,,,,,,,,,,,,,14618,,,,14241,,14606,,,,14087,14599,14605,14617,4287,,,,,,,,14599,,,,,193299.0
2015,,35091.0,35073.0,,,,35148.0,,35010.0,31294.0,,,,,,,,,,,,,,,,,,,,,34974,,,,35074,,35054,,,,35050,35059,35063,35104,35098,,,,,,,,35056,,,,,487148.0
2016,,35165.0,35161.0,,,,8813.0,,35135.0,29156.0,,,,,,5537.0,,,,,,,,,,,,,,,35103,5648.0,,,35182,,35152,,,,35161,35150,35147,35207,28956,,,,,,,,35150,,,,,464823.0
2017,,35070.0,35044.0,,13558.0,,,,13869.0,29050.0,,,,,,35129.0,,,,,,,,,,,,,,,34882,35121.0,,,35059,,35073,,,,35055,31292,34469,35087,31793,,,,,,12886.0,,35058,,,,,517495.0
2018,,11495.0,35062.0,294.0,,,,,,30613.0,11875.0,,,12028.0,,35152.0,,,,,11987.0,,,,,,,,,,31490,21695.0,,,35086,,35023,,,,35056,35039,35039,32251,34749,11196.0,,,,11810.0,,,35040,13077.0,24537.0,,9853.0,549447.0
2019,,15560.0,12176.0,34933.0,,,,2571.0,,30895.0,34733.0,,,34951.0,,34095.0,,,,,34899.0,,,,,7745.0,3977.0,,,,29114,34805.0,30246.0,3106.0,35072,,34861,15885.0,,2743.0,32928,35040,31941,35147,35007,34922.0,20025.0,22063.0,,,,1189.0,35036,34380.0,34872.0,14630.0,29408.0,828955.0
2020,26519.0,,,35173.0,,18529.0,,23511.0,,1433.0,35123.0,13750.0,25707.0,35036.0,29783.0,33843.0,32363.0,,21158.0,23634.0,5.0,33890.0,27027.0,24094.0,24308.0,35113.0,35164.0,5042.0,26344.0,4763.0,35112,35246.0,34686.0,35115.0,35156,25428.0,35127,35120.0,26504.0,35142.0,29054,35133,33371,35165,34050,35035.0,35161.0,33093.0,29233.0,6767.0,,34787.0,35103,35110.0,35170.0,35097.0,31445.0,1416722.0
2021,35029.0,,,35090.0,,35022.0,,34994.0,,,35010.0,31421.0,35070.0,34629.0,35031.0,16100.0,22409.0,2369.0,35034.0,33734.0,,35086.0,34939.0,35040.0,35039.0,35028.0,35065.0,34141.0,34977.0,35018.0,34980,35131.0,35029.0,33180.0,34935,35069.0,35030,34984.0,34999.0,34993.0,30401,35040,35025,35094,34961,35001.0,34962.0,35056.0,35046.0,31650.0,,34974.0,34993,35017.0,35143.0,34512.0,35029.0,1635509.0
2022,35037.0,,,35063.0,,33594.0,,32809.0,,,34988.0,32071.0,35068.0,35035.0,35001.0,4848.0,35037.0,35039.0,34631.0,35033.0,,35105.0,34928.0,34475.0,34976.0,35007.0,35067.0,35040.0,34949.0,34978.0,35012,35136.0,34543.0,35012.0,35033,35073.0,35040,33802.0,34813.0,34967.0,35067,35038,35005,34908,33523,34528.0,34880.0,34812.0,34587.0,35031.0,,34898.0,35034,35009.0,35093.0,33130.0,35030.0,1671783.0
2023,35031.0,,,33321.0,,35010.0,,35026.0,12022.0,,35031.0,34955.0,35047.0,35033.0,35000.0,35075.0,24257.0,35029.0,35013.0,35035.0,,35044.0,34990.0,35036.0,35026.0,35020.0,35069.0,35031.0,33836.0,34462.0,34817,32584.0,35081.0,35017.0,35020,35066.0,32099,34959.0,34847.0,34985.0,34555,35036,35019,35076,12338,35000.0,33867.0,35042.0,33136.0,35032.0,,34847.0,35031,35023.0,35052.0,34966.0,34991.0,1681885.0
2024,20534.0,,,18718.0,,20458.0,,17089.0,20520.0,,19846.0,20458.0,20541.0,20393.0,20522.0,20558.0,20533.0,20536.0,20411.0,20445.0,,20556.0,20552.0,20544.0,20466.0,20522.0,20565.0,20276.0,20149.0,10949.0,20513,20553.0,20551.0,20515.0,20255,20562.0,20534,20524.0,19041.0,20516.0,19422,20528,20508,7524,20451,19451.0,20501.0,20546.0,20061.0,17778.0,,20544.0,20537,20523.0,20559.0,19965.0,20041.0,988644.0
